"","year","month","FoodType","prop_foodtype_month_sum"
"1",2002,2,"Live",0.595525207031817
"2",2002,2,"Supplemental",0.404474792968182
"3",2002,4,"Live",0.687203791469194
"4",2002,4,"Supplemental",0.312796208530806
"5",2002,5,"Live",0.763880163342233
"6",2002,5,"Supplemental",0.236119836657767
"7",2002,8,"Live",0.75
"8",2002,8,"Supplemental",0.25
"9",2002,10,"Live",0.830164541365263
"10",2002,10,"Supplemental",0.169835458634737
"11",2003,4,"Live",0.261725357527295
"12",2003,4,"Supplemental",0.738274642472705
"13",2003,5,"Live",0.495752631521775
"14",2003,5,"Supplemental",0.504247368478225
"15",2003,8,"Live",0.576610895329151
"16",2003,8,"Supplemental",0.42338910467085
"17",2003,9,"Live",0.55912918579435
"18",2003,9,"Supplemental",0.44087081420565
"19",2003,10,"Live",0.660149950245342
"20",2003,10,"Supplemental",0.339850049754658
"21",2004,2,"Live",0.607626100583847
"22",2004,2,"Supplemental",0.392373899416153
"23",2004,3,"Live",0.570672713529856
"24",2004,3,"Supplemental",0.429327286470144
"25",2004,9,"Live",0.407495216575532
"26",2004,9,"Supplemental",0.592504783424468
"27",2004,10,"Live",0.563672131147541
"28",2004,10,"Supplemental",0.436327868852459
"29",2005,5,"Live",0.316553406435544
"30",2005,5,"Supplemental",0.683446593564456
"31",2005,6,"Live",0.305016735374317
"32",2005,6,"Supplemental",0.694983264625683
"33",2005,9,"Live",0.560286187196327
"34",2005,9,"Supplemental",0.439713812803673
"35",2005,10,"Live",0.554901761369965
"36",2005,10,"Supplemental",0.445098238630035
"37",2006,3,"Live",0.353775087607518
"38",2006,3,"Supplemental",0.646224912392482
"39",2006,4,"Live",0.165626513920948
"40",2006,4,"Supplemental",0.834373486079052
"41",2006,5,"Live",0.15122145791201
"42",2006,5,"Supplemental",0.827785280924823
"43",2006,5,"Wild",0.0209932611631666
"44",2006,6,"Live",0.309077593009987
"45",2006,6,"Supplemental",0.675877300056206
"46",2006,6,"Wild",0.0150451069338072
"47",2006,9,"Live",0.309952841896252
"48",2006,9,"Supplemental",0.690047158103748
"49",2006,10,"Live",0.206596018619392
"50",2006,10,"Supplemental",0.793403981380608
"51",2007,7,"Live",0.475547132901333
"52",2007,7,"Supplemental",0.524452867098667
"53",2007,8,"Live",0.518469581202964
"54",2007,8,"Supplemental",0.481530418797036
"55",2007,9,"Live",0.611264027101419
"56",2007,9,"Supplemental",0.388735972898581
"57",2007,10,"Live",0.608695459254871
"58",2007,10,"Supplemental",0.391304540745129
"59",2008,9,"Live",0.211710621824341
"60",2008,9,"Supplemental",0.788289378175659
"61",2008,10,"Live",0.328613835452985
"62",2008,10,"Supplemental",0.671386164547015
"63",2009,6,"Live",0.390975268765367
"64",2009,6,"Supplemental",0.609024731234633
"65",2009,7,"Live",0.47232941101742
"66",2009,7,"Supplemental",0.52767058898258
"67",2009,11,"Live",0.62019870941309
"68",2009,11,"Supplemental",0.37980129058691
"69",2009,12,"Live",0.529674944872484
"70",2009,12,"Supplemental",0.470325055127516
"71",2010,2,"Live",0.710017574692443
"72",2010,2,"Supplemental",0.289982425307557
"73",2010,3,"Live",0.457376570260006
"74",2010,3,"Supplemental",0.542623429739994
"75",2010,5,"Live",0.521656854499579
"76",2010,5,"Supplemental",0.478343145500421
"77",2010,6,"Live",0.487265817032615
"78",2010,6,"Supplemental",0.512734182967385
"79",2010,10,"Live",0.462213866014811
"80",2010,10,"Supplemental",0.537786133985189
"81",2010,11,"Live",0.408759124087591
"82",2010,11,"Supplemental",0.591240875912409
"83",2011,4,"Live",0.377422889683295
"84",2011,4,"Supplemental",0.622577110316705
"85",2011,5,"Live",0.585801264999704
"86",2011,5,"Supplemental",0.414198735000296
"87",2011,9,"Live",0.433599673079612
"88",2011,9,"Supplemental",0.566400326920388
"89",2011,10,"Live",0.405639241044373
"90",2011,10,"Supplemental",0.594360758955627
